Lost Frequencies	Where Are You Now
Shawn Mendes	Se̱orita
Imagine Dragons	Enemy (with JID) - from the series Arcane League of Legends
The Script	Hall of Fame (feat. will.i.am)
Britney Spears	Womanizer
Justin Bieber	Ghost
Backstreet Boys	I Want It That Way
John Mayer	New Light
One Direction	Drag Me Down
Billie Eilish	Happier Than Ever - Edit
Vanessa Carlton	A Thousand Miles
Mark Ronson	Nothing Breaks Like a Heart (feat. Miley Cyrus)
Imagine Dragons	I Bet My Life
P!nk	Walk Me Home
Ed Sheeran	I See Fire - From "The Hobbit - The Desolation Of Smaug"
Spice Girls	Wannabe
Adele	Easy On Me
Katy Perry	Last Friday Night (T.G.I.F.)
Miley Cyrus	Prisoner (feat. Dua Lipa)
Ava Max	My Head & My Heart
David Guetta	Without You (feat. Usher)
Mariah Carey	Heartbreaker (feat. Jay-Z)
Camila Cabello	Bam Bam (feat. Ed Sheeran)
Usher	U Remind Me
Dermot Kennedy	Power Over Me
Gotye	Somebody That I Used To Know
Maroon 5	Memories
Zara Larsson	Lush Life
Ace of Base	All That She Wants
Lil Nas X	INDUSTRY BABY (feat. Jack Harlow)
Colbie Caillat	Bubbly
Joel Corry	BED
P!nk	F**kin' Perfect
Daddy Yankee	Con Calma
Sam Smith	Stay With Me
TLC	Waterfalls
Lauren Spencer-Smith	Fingers Crossed
Taio Cruz	Dynamite
Jonas Brothers	Only Human
Marshmello	Here With Me
P!nk	Raise Your Glass
Martin Jensen	Solo Dance
Macy Gray	I Try
Tiesto	The Motto
Mario	Let Me Love You
Miley Cyrus	Slide Away
Plain White T's	Hey There Delilah - Bonus Track
Dua Lipa	Don't Start Now
Bruno Mars	Grenade
Fugees	No Woman, No Cry
