title,artist,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
Bring Me To Life,Evanescence,0.05891330891330891,0.05494505494505494,0.03461538461538462,0.01794871794871795,0.014285714285714287,0.19700854700854703,0.11953601953601953,0.08778998778998778,0.003663003663003663,0.07796092796092796
Savior,Rise Against,0.03282894504485414,0.026880821199003015,0.09091010000100909,0.08356898783035148,0.0266669252464707,0.15591504455140817,0.06853831143603871,0.03695445968173241,0.015300734618916439,0.09879930675385222
Best of You,Foo Fighters,0.04901334429018207,0.02816246933893993,0.05536362155989198,0.07246297354296491,0.023876875651661453,0.15095822570082776,0.06148126079726627,0.05987625385710202,0.00826806572360608,0.07193225837476683
Numb,Linkin Park,0.0339583022341643,0.027071287588528968,0.037880861156723226,0.043494427028909786,0.013384418901660282,0.1956673467018295,0.0904124164468992,0.06072987676435952,0.006718664477285167,0.06846017647741785
The Diary of Jane - Single Version,Breaking Benjamin,0.01260811498906737,0.012856631904250949,0.1189763188362628,0.06503049808371937,0.02767030147982529,0.2022949817067464,0.028143285286142426,0.03220549032873963,0.007808241141574474,0.1114537552912903
Welcome to the Black Parade,My Chemical Romance,0.057700806959174095,0.04105925910392389,0.09335099547894465,0.0727193198646839,0.06624145767768326,0.1986186531101525,0.08191165602296434,0.08551128113234444,0.024914206164206164,0.09463903115258938
Take Me Out,Franz Ferdinand,0.031877599524658344,0.02200968965674848,0.055637689605080906,0.1047344262018175,0.04676098979168033,0.1624362352623222,0.06830722382192969,0.018178427497481206,0.017100301659125187,0.063866507888247
I Hate Everything About You,Three Days Grace,0.04395153352634715,0.07695379285322028,0.05574757865200221,0.04844097856821751,0.02599123482121975,0.13693506667671548,0.09242236899856657,0.06379535702087358,0.03864195649076831,0.09153873704323197
Sex on Fire,Kings of Leon,0.01764530499140622,0.02270394144539151,0.06690213950815865,0.08414205873166201,0.021250515710160033,0.1498218190078655,0.03443064763174202,0.019596443228454174,0.007678861646029909,0.06420036112238575
I'm Not Okay (I Promise),My Chemical Romance,0.045841671486408324,0.043431174089068825,0.10183800848274531,0.12033426515005463,0.0229528468607416,0.16588745903219587,0.09612669494248441,0.05504352226720648,0.014995501574448941,0.05854885611464559
Like a Stone,Audioslave,0.035622839692607135,0.02167941877244203,0.13466810966810966,0.05941977918722105,0.007097553609181516,0.13499278499278497,0.07129266082754455,0.0821227222390013,0.011292325245813618,0.06971878250948019
When You Were Young,The Killers,0.02256698436351424,0.028985664094359744,0.09384022072117863,0.09501979241211397,0.03783812608766108,0.20277069676235565,0.05230642421659046,0.04671149981731823,0.014439939678111035,0.1327933791195242
The Pretender,Foo Fighters,0.03175611770332267,0.02061991091494197,0.07294798539711797,0.045609120558253134,0.017931530048685758,0.16866700573329402,0.046986563229334706,0.07506093594656456,0.01570664784950499,0.07614275404755164
It's Been Awhile,Staind,0.03443399511397489,0.06358120449374241,0.05564768414572138,0.09709899595702248,0.026382033494833118,0.16344834114714563,0.10238401325209151,0.06998674952267411,0.01995726827479043,0.11126576110963192
Face Down,The Red Jumpsuit Apparatus,0.05641654547559014,0.04881850625990387,0.06105360872794161,0.07227213722496045,0.01790669484167936,0.1690685165954221,0.12788933912146355,0.07256780879993323,0.016319951282357296,0.08784562182947851
Island In The Sun,Weezer,0.01759907175627016,0.02584422166808674,0.06391250231324967,0.06319148454346826,0.03680078134706222,0.18993515662707203,0.06656325872858722,0.03103501852555026,0.013679928067478775,0.09461317959777789
She Hates Me,Puddle Of Mudd,0.039572524249943605,0.03367076471915181,0.07473628522015618,0.12154189896125381,0.04089969170614331,0.2076818342947375,0.05738871343710054,0.030163922099405972,0.01819497706594481,0.1342139043751947
Uprising,Muse,0.038755165974702833,0.023195581392146045,0.08590192812522586,0.10050886138613332,0.01670468384197453,0.20618976721624135,0.030489960092108113,0.012192139348481058,0.019933481419892922,0.07077959399379162
Yellow,Coldplay,0.008994708994708995,0.013378684807256236,0.04051398337112622,0.04610733182161754,0.003854875283446712,0.09984882842025701,0.03764172335600907,0.014512471655328795,0.0015873015873015873,0.05102040816326531
Smooth Criminal,Alien Ant Farm,0.036766334440753036,0.023117386489479513,0.11199504629737189,0.10302152627734022,0.012504614248800292,0.19564240668891833,0.04626329742608813,0.04573811201718178,0.015042451088962717,0.06107161572277851
American Idiot,Green Day,0.03491161616161616,0.02443181818181818,0.10217352092352092,0.07723665223665223,0.01047979797979798,0.18133116883116882,0.05448232323232323,0.029419191919191914,0.022727272727272728,0.09917027417027416
The Anthem,Good Charlotte,0.02245536321423714,0.024325348254356824,0.11688569348588068,0.07106037437414786,0.029781304606706003,0.17189745339180143,0.04049367605059159,0.04643317139177172,0.00832313341493268,0.11950727251324846
Thnks fr th Mmrs,Fall Out Boy,0.029915511665642745,0.0228985812986768,0.054302336368384885,0.052482070645372414,0.034865911632248205,0.14676345494949278,0.06272101121761407,0.06842357618177178,0.017418230556229285,0.08833431548456702
The Reason,Hoobastank,0.0195874861572536,0.01562846068660022,0.05144887412329272,0.033697858988556664,0.019167589516426723,0.17809154669619787,0.06366279069767442,0.05759966777408638,0.006861387966039128,0.06588224437061646
All My Life,Foo Fighters,0.01707330241651322,0.01777660324171952,0.03909823149567296,0.1440220102872608,0.009751121991024072,0.21501494008156855,0.055228643968921146,0.05599644955668172,0.013999749082861966,0.08320173857545042
