title,artist,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,0.01241791241791242,0.021303268362091895,0.1257427919192625,0.06506470918235625,0.030902152960976488,0.24882160764513708,0.03833710892534421,0.024392071450894982,0.019625119625119626,0.17015001426766135
My Sweet Lord,George Harrison,0.017466430303400775,0.006074637814047313,0.07871806870334394,0.1230063659649101,0.029587280121524624,0.26729937861479053,0.03508388378886,0.06583073537502292,0.0035894974164248496,0.17822177067816275
Into the Mystic - 2013 Remaster,Van Morrison,,,,,,,,,,
Never Going Back Again - 2004 Remaster,Fleetwood Mac,,,,,,,,,,
50 Ways to Leave Your Lover,Paul Simon,0.0375959451810845,0.03324290692711745,0.14815512876658388,0.08478894303197708,0.03235655406708038,0.25378726682906244,0.08917962110686568,0.066188396645053,0.037956874798980064,0.10864025453808736
Homeward Bound,Simon & Garfunkel,0.0172012672012672,0.023784773784773783,0.1473345723345723,0.08776512526512525,0.046893459393459395,0.2473861723861724,0.03054153054153054,0.07128682128682129,0.0038610038610038607,0.18881013881013878
Here Comes The Sun,Richie Havens,0.03349673202614379,0.028828197945845003,0.07817460317460319,0.11750700280112045,0.04374416433239963,0.3158029878618114,0.07644724556489263,0.0196078431372549,0.015756302521008403,0.15298786181139123
Girl from the North Country,Bob Dylan,0.01931086931086931,0.015042315042315043,0.10941460941460943,0.11102238602238602,0.00515970515970516,0.27584727584727586,0.039308139308139305,0.04886997386997387,0.010237510237510237,0.20362505362505362
You've Got To Hide Your Love Away - Remastered,The Beatles,0.023873873873873873,0.013963963963963962,0.04864864864864865,0.05791505791505791,0.012162162162162161,0.19581724581724583,0.03873873873873874,0.020270270270270268,0.008365508365508366,0.09375804375804378
Me & Magdalena,The Monkees,0.026475694444444444,0.010850694444444444,0.042534722222222224,0.0078125,0.0,0.4288194444444444,0.047309027777777776,0.030381944444444444,0.047309027777777776,0.04600694444444445
The Only Living Boy in New York,Simon & Garfunkel,0.01728170478170478,0.01593035343035343,0.0619031119031119,0.06983260733260734,0.013822888822888822,0.2477766227766227,0.028344553344553346,0.024145711645711644,0.008835758835758836,0.1607753357753358
The Weight,The Band,0.02302538101434319,0.018302220455942358,0.10546709364181432,0.11865283577492489,0.028239301940338416,0.192368006875343,0.034933169810003835,0.03652333530177116,0.004311930721945529,0.13993111042848558
