title,artist,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
Dark Days,Local Natives,0.02097883597883598,0.014611314611314612,0.07808879392212725,0.11509496676163344,0.022264278930945597,0.19091303757970424,0.024021164021164023,0.010717338217338217,0.009116809116809116,0.13641568308234975
Gooey,Glass Animals,0.03181272965594046,0.022535572704364903,0.1037501945416424,0.059251800962228575,0.009551076580333894,0.20409539822518066,0.1318931068931069,0.0654095904095904,0.01635902856833089,0.07627173401742043
Kingston,Faye Webster,0.00844671201814059,0.006462585034013606,0.07650671379662977,0.05519874616513271,0.03610388599884398,0.28172380063136365,0.06400226757369613,0.043445155840113825,0.01717687074829932,0.17283802409852828
I Can Change,LCD Soundsystem,0.03162393162393162,0.014102564102564105,0.04173789173789174,0.012108262108262107,0.004273504273504273,0.14145299145299142,0.02264957264957265,0.023076923076923075,0.014102564102564105,0.10512820512820512
Baby Blu,Nilufer Yanya,0.008527131782945736,0.004651162790697674,0.03799456357595892,0.0302426255914628,0.05272324574650156,0.21185945837108625,0.03986962649753347,0.017406624383368572,0.011416490486257928,0.12019279170441961
Your Light,The Big Moon,0.034296953046953044,0.00881895881895882,0.11218693479722891,0.04439014825044237,0.04441646996794055,0.14102431473755003,0.04965975609357962,0.04007844687991747,0.00881895881895882,0.08449087677028853
Before Sunrise,Gengahr,0.016666666666666666,0.004761904761904762,0.04821428571428571,0.03253968253968254,0.013690476190476189,0.15714285714285714,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.06984126984126984
Eventually,Tame Impala,0.0603727875928384,0.03661007320475759,0.07039691986731267,0.08683763427851762,0.032999170069719225,0.14916465811130655,0.10109893851832487,0.06826796116614368,0.03130812155729099,0.10712978214541632
Withorwithout,Parcels,0.009702797202797202,0.024837662337662336,0.059584165834165835,0.06943265068265068,0.026017732267732265,0.13083999333999333,0.017657342657342655,0.019724025974025974,0.002272727272727273,0.09447635697635696
Necessary Evil,Unknown Mortal Orchestra,0.021428571428571425,0.007971014492753625,0.05252211556559384,0.046310935441370216,0.0191699604743083,0.21320346320346317,0.015217391304347825,0.034886128364389236,0.004347826086956522,0.15015998494259364
Shut Up Kiss Me,Angel Olsen,0.03611168373073134,0.013027096360429693,0.062011445344778676,0.06423453090119757,0.020011910488100967,0.21345383012049676,0.03136827898732661,0.03377231234374092,0.014123090313566504,0.14680645633026584
Depreston,Courtney Barnett,0.015932102453985745,0.025902244859472977,0.0667561825884107,0.05751012452769747,0.029801817509045623,0.19494859417770558,0.0807513929115388,0.06194151689012432,0.014202737470310414,0.12533020968863143
Wakin on a Pretty Day,Kurt Vile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borderline,Tame Impala,0.052410709462848495,0.049508549976464415,0.12429398067767052,0.05984453009854079,0.02579659274177991,0.1529510633454484,0.07517699917432537,0.03195852721253791,0.01984503167658248,0.09003219745198354
Night Shift,Lucy Dacus,0.045999420642763036,0.03896466607064433,0.13767486099347515,0.07788906632316958,0.03552601911976912,0.13684099339669992,0.12962892708137275,0.04667313174446326,0.04333864165725578,0.08871427297038709
Seventeen,Sharon Van Etten,0.05286420916005943,0.048910518669767686,0.10709694027516904,0.05349292053589839,0.02792451088962717,0.11602496097081913,0.08783341512069746,0.045677055228719454,0.014996129984877172,0.07308631590855107
Always Like This,Bombay Bicycle Club,0.010822510822510822,0.0032467532467532465,0.11281811622720714,0.03713105076741441,0.030186606322969958,0.1271038305129214,0.026154401154401152,0.03499278499278499,0.002525252525252525,0.11501869342778433
Them Changes,Thundercat,0.029677211467797768,0.03125466362090781,0.07061298761545472,0.05434863607754475,0.034532379385320555,0.15948115137356622,0.11008052136631857,0.09652778435552235,0.018053637673171342,0.09855602706439587
Like An Animal,Alfie Templeman,0.010533102129740787,0.013222696486001809,0.0526595823514591,0.0616053828938983,0.02818868288055963,0.22423117395106187,0.03400878870066545,0.028152372059935083,0.012668400693610778,0.1379044210276703
Youth,Glass Animals,0.01950203792309056,0.024860446570972885,0.07961648250961799,0.07513501379878466,0.0329036233282301,0.16181511138852514,0.07522499088057254,0.047097202653388376,0.014950685661469974,0.12167218306312555
Super Sad Generation,Arlo Parks,0.004651162790697674,0.005813953488372093,0.08707255277022719,0.057697405953219906,0.016472868217054265,0.22367361320849694,0.018393234672304443,0.03525369978858351,0.010465116279069767,0.1451575556226719
Everything & More,Gengahr,0.0,0.02850877192982456,0.11553884711779447,0.04317042606516291,0.06635338345864661,0.10833333333333335,0.017543859649122806,0.016604010025062656,0.02631578947368421,0.07763157894736843
